method,algorithm,k,seed,silhouette
UMAP,GMM,6,9181,0.4418538510799408
UMAP,Agglomerative,6,9181,0.4351598024368286
UMAP,Spectral,6,9181,0.4500027000904083
MDS,KMeans,4,9181,0.38628946784054385
MDS,GMM,4,9181,0.569793359028351
MDS,Agglomerative,4,9181,0.3915025806838797
MDS,Spectral,4,9181,0.2617661570525993
MDS,KMeans,5,9181,0.40787671978226936
MDS,GMM,5,9181,0.39102953933716994
MDS,Agglomerative,5,9181,0.40920858548849853
MDS,Spectral,5,9181,0.2562331568608472
MDS,KMeans,6,9181,0.40055454143494285
MDS,GMM,6,9181,0.40433826671007644
MDS,Agglomerative,6,9181,0.41510737700460104
MDS,Spectral,6,9181,0.22186496070152154
PCA,KMeans,4,1022,0.4863809316534468
PCA,GMM,4,1022,0.41986029057574326
PCA,Agglomerative,4,1022,0.48765134424796924
PCA,Spectral,4,1022,0.35808749973959464
PCA,KMeans,5,1022,0.5281900232358612
PCA,GMM,5,1022,0.12339455289482867
PCA,Agglomerative,5,1022,0.5521963523374787
PCA,Spectral,5,1022,0.3193613881228527
PCA,KMeans,6,1022,0.56555838535161
PCA,GMM,6,1022,0.3450114327451788
PCA,Agglomerative,6,1022,0.5639881437960454
PCA,Spectral,6,1022,0.2875621523225612
UMAP,KMeans,4,1022,0.47321709990501404
UMAP,GMM,4,1022,0.4686940610408783
UMAP,Agglomerative,4,1022,0.4749355614185333
UMAP,Spectral,4,1022,0.4709715247154236
UMAP,KMeans,5,1022,0.47344550490379333
UMAP,GMM,5,1022,0.3908759653568268
UMAP,Agglomerative,5,1022,0.45646369457244873
UMAP,Spectral,5,1022,0.47664397954940796
UMAP,KMeans,6,1022,0.43760842084884644
UMAP,GMM,6,1022,0.4166224002838135
UMAP,Agglomerative,6,1022,0.441519170999527
UMAP,Spectral,6,1022,0.44254133105278015
MDS,KMeans,4,1022,0.3901842392632929
MDS,GMM,4,1022,0.38152087870010715
MDS,Agglomerative,4,1022,0.2920126845245564
MDS,Spectral,4,1022,0.2573726510209676
MDS,KMeans,5,1022,0.3978330140983901
MDS,GMM,5,1022,0.3881115601382978
MDS,Agglomerative,5,1022,0.3235440821700833
MDS,Spectral,5,1022,0.2507927244955213
MDS,KMeans,6,1022,0.3999711583414102
MDS,GMM,6,1022,0.39831960366543223
MDS,Agglomerative,6,1022,0.32796971203424585
MDS,Spectral,6,1022,0.22533510820217842
PCA,KMeans,4,3214,0.4863809316534468
PCA,GMM,4,3214,0.41986029057574326
PCA,Agglomerative,4,3214,0.48765134424796924
PCA,Spectral,4,3214,0.35808749973959464
PCA,KMeans,5,3214,0.5281900232358612
PCA,GMM,5,3214,0.28144686719768014
PCA,Agglomerative,5,3214,0.5521963523374787
PCA,Spectral,5,3214,0.3193613881228527
PCA,KMeans,6,3214,0.5680426055994776
PCA,GMM,6,3214,0.3450114327451788
PCA,Agglomerative,6,3214,0.5639881437960454
PCA,Spectral,6,3214,0.2875621523225612
UMAP,KMeans,4,3214,0.456073522567749
UMAP,GMM,4,3214,0.4515789747238159
UMAP,Agglomerative,4,3214,0.41879916191101074
UMAP,Spectral,4,3214,0.4478719234466553
UMAP,KMeans,5,3214,0.47833770513534546
UMAP,GMM,5,3214,0.4004106819629669
UMAP,Agglomerative,5,3214,0.40582796931266785
UMAP,Spectral,5,3214,0.47833770513534546
UMAP,KMeans,6,3214,0.43643876910209656
UMAP,GMM,6,3214,0.3993735611438751
UMAP,Agglomerative,6,3214,0.39667707681655884
UMAP,Spectral,6,3214,0.4310150742530823
MDS,KMeans,4,3214,0.39002851664014493
MDS,GMM,4,3214,0.5918202627565584
MDS,Agglomerative,4,3214,0.291728711543031
MDS,Spectral,4,3214,0.2669905947050734
MDS,KMeans,5,3214,0.40431412777559006
MDS,GMM,5,3214,0.3873381208043273
MDS,Agglomerative,5,3214,0.3238768291163375
MDS,Spectral,5,3214,0.2506815439490696
MDS,KMeans,6,3214,0.40629965269914076
MDS,GMM,6,3214,0.413234588137591
MDS,Agglomerative,6,3214,0.3280161135768336
MDS,Spectral,6,3214,0.2168573123609744
PCA,KMeans,4,8095,0.4863809316534468
PCA,GMM,4,8095,0.41986029057574326
PCA,Agglomerative,4,8095,0.48765134424796924
PCA,Spectral,4,8095,0.35808749973959464
PCA,KMeans,5,8095,0.5269802136219324
PCA,GMM,5,8095,0.12339455289482867
PCA,Agglomerative,5,8095,0.5521963523374787
PCA,Spectral,5,8095,0.3193613881228527
PCA,KMeans,6,8095,0.5680426055994776
PCA,GMM,6,8095,0.3450114327451788
PCA,Agglomerative,6,8095,0.5639881437960454
PCA,Spectral,6,8095,0.2875621523225612
UMAP,KMeans,4,8095,0.4769846498966217
UMAP,GMM,4,8095,0.4738708436489105
UMAP,Agglomerative,4,8095,0.4350126385688782
UMAP,Spectral,4,8095,0.47137612104415894
UMAP,KMeans,5,8095,0.482590913772583
