method,algorithm,k,seed_1,seed_2,ARI,NMI
PCA,KMeans,5,5123,7923,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,5123,9855,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,5123,6318,1.0,1.0
PCA,KMeans,5,5123,8859,1.0,1.0
PCA,KMeans,5,5123,1159,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,5123,8476,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,5123,3214,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,7923,9855,1.0,1.0
PCA,KMeans,5,7923,6318,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,7923,8859,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,7923,1159,1.0,1.0
PCA,KMeans,5,7923,8476,1.0,1.0
PCA,KMeans,5,7923,3214,1.0,1.0
PCA,KMeans,5,9855,6318,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,9855,8859,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,9855,1159,1.0,1.0
PCA,KMeans,5,9855,8476,1.0,1.0
PCA,KMeans,5,9855,3214,1.0,1.0
PCA,KMeans,5,6318,8859,1.0,1.0
PCA,KMeans,5,6318,1159,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,6318,8476,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,6318,3214,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,8859,1159,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,8859,8476,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,8859,3214,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,1159,8476,1.0,1.0
PCA,KMeans,5,1159,3214,1.0,1.0
PCA,KMeans,5,8476,3214,1.0,1.0
PCA,GMM,5,3016,8700,1.0,1.0
PCA,GMM,5,3016,4031,1.0,1.0
PCA,GMM,5,3016,6230,0.7939835763874126,0.7853118568308056
PCA,GMM,5,3016,3627,0.7939835763874126,0.7853118568308056
PCA,GMM,5,3016,5539,0.7939835763874126,0.7853118568308056
PCA,GMM,5,3016,4861,0.7939835763874126,0.7853118568308056
PCA,GMM,5,3016,8859,0.7939835763874126,0.7853118568308056
PCA,GMM,5,3016,9213,0.7939835763874126,0.7853118568308056
PCA,GMM,5,3016,3097,0.9583105438142587,0.9468605200936989
PCA,GMM,5,8700,4031,1.0,1.0
PCA,GMM,5,8700,6230,0.7939835763874126,0.7853118568308056
PCA,GMM,5,8700,3627,0.7939835763874126,0.7853118568308056
PCA,GMM,5,8700,5539,0.7939835763874126,0.7853118568308056
PCA,GMM,5,8700,4861,0.7939835763874126,0.7853118568308056
PCA,GMM,5,8700,8859,0.7939835763874126,0.7853118568308056
PCA,GMM,5,8700,9213,0.7939835763874126,0.7853118568308056
PCA,GMM,5,8700,3097,0.9583105438142587,0.9468605200936989
PCA,GMM,5,4031,6230,0.7939835763874126,0.7853118568308056
PCA,GMM,5,4031,3627,0.7939835763874126,0.7853118568308056
PCA,GMM,5,4031,5539,0.7939835763874126,0.7853118568308056
PCA,GMM,5,4031,4861,0.7939835763874126,0.7853118568308056
PCA,GMM,5,4031,8859,0.7939835763874126,0.7853118568308056
PCA,GMM,5,4031,9213,0.7939835763874126,0.7853118568308056
PCA,GMM,5,4031,3097,0.9583105438142587,0.9468605200936989
PCA,GMM,5,6230,3627,1.0,1.0
PCA,GMM,5,6230,5539,1.0,1.0
PCA,GMM,5,6230,4861,1.0,1.0
PCA,GMM,5,6230,8859,1.0,1.0
PCA,GMM,5,6230,9213,1.0,1.0
PCA,GMM,5,6230,3097,0.7591764124551423,0.765676881947593
PCA,GMM,5,3627,5539,1.0,1.0
PCA,GMM,5,3627,4861,1.0,1.0
PCA,GMM,5,3627,8859,1.0,1.0
PCA,GMM,5,3627,9213,1.0,1.0
PCA,GMM,5,3627,3097,0.7591764124551423,0.765676881947593
PCA,GMM,5,5539,4861,1.0,1.0
PCA,GMM,5,5539,8859,1.0,1.0
PCA,GMM,5,5539,9213,1.0,1.0
PCA,GMM,5,5539,3097,0.7591764124551423,0.765676881947593
PCA,GMM,5,4861,8859,1.0,1.0
PCA,GMM,5,4861,9213,1.0,1.0
PCA,GMM,5,4861,3097,0.7591764124551423,0.765676881947593
PCA,GMM,5,8859,9213,1.0,1.0
PCA,GMM,5,8859,3097,0.7591764124551423,0.765676881947593
PCA,GMM,5,9213,3097,0.7591764124551423,0.765676881947593
PCA,Agglomerative,5,1855,5315,1.0,1.0
PCA,Agglomerative,5,1855,1127,1.0,1.0
PCA,Agglomerative,5,1855,7335,1.0,1.0
PCA,Agglomerative,5,1855,6230,1.0,1.0
PCA,Agglomerative,5,1855,9939,1.0,1.0
PCA,Agglomerative,5,1855,8859,1.0,1.0
PCA,Agglomerative,5,1855,3069,1.0,1.0
PCA,Agglomerative,5,1855,3847,1.0,1.0
PCA,Agglomerative,5,1855,3881,1.0,1.0
PCA,Agglomerative,5,5315,1127,1.0,1.0
PCA,Agglomerative,5,5315,7335,1.0,1.0
PCA,Agglomerative,5,5315,6230,1.0,1.0
PCA,Agglomerative,5,5315,9939,1.0,1.0
PCA,Agglomerative,5,5315,8859,1.0,1.0
PCA,Agglomerative,5,5315,3069,1.0,1.0
PCA,Agglomerative,5,5315,3847,1.0,1.0
PCA,Agglomerative,5,5315,3881,1.0,1.0
PCA,Agglomerative,5,1127,7335,1.0,1.0
PCA,Agglomerative,5,1127,6230,1.0,1.0
PCA,Agglomerative,5,1127,9939,1.0,1.0
PCA,Agglomerative,5,1127,8859,1.0,1.0
PCA,Agglomerative,5,1127,3069,1.0,1.0
PCA,Agglomerative,5,1127,3847,1.0,1.0
PCA,Agglomerative,5,1127,3881,1.0,1.0
PCA,Agglomerative,5,7335,6230,1.0,1.0
PCA,Agglomerative,5,7335,9939,1.0,1.0
PCA,Agglomerative,5,7335,8859,1.0,1.0
PCA,Agglomerative,5,7335,3069,1.0,1.0
PCA,Agglomerative,5,7335,3847,1.0,1.0
PCA,Agglomerative,5,7335,3881,1.0,1.0
PCA,Agglomerative,5,6230,9939,1.0,1.0
PCA,Agglomerative,5,6230,8859,1.0,1.0
PCA,Agglomerative,5,6230,3069,1.0,1.0
PCA,Agglomerative,5,6230,3847,1.0,1.0
PCA,Agglomerative,5,6230,3881,1.0,1.0
PCA,Agglomerative,5,9939,8859,1.0,1.0
PCA,Agglomerative,5,9939,3069,1.0,1.0
PCA,Agglomerative,5,9939,3847,1.0,1.0
PCA,Agglomerative,5,9939,3881,1.0,1.0
PCA,Agglomerative,5,8859,3069,1.0,1.0
PCA,Agglomerative,5,8859,3847,1.0,1.0
PCA,Agglomerative,5,8859,3881,1.0,1.0
PCA,Agglomerative,5,3069,3847,1.0,1.0
PCA,Agglomerative,5,3069,3881,1.0,1.0
PCA,Agglomerative,5,3847,3881,1.0,1.0
PCA,Spectral,5,9496,8091,1.0,1.0
PCA,Spectral,5,9496,3881,1.0,1.0
PCA,Spectral,5,9496,5008,1.0,1.0
PCA,Spectral,5,9496,5576,1.0,1.0
PCA,Spectral,5,9496,4861,1.0,1.0
PCA,Spectral,5,9496,2694,1.0,1.0
PCA,Spectral,5,9496,3210,1.0,1.0
PCA,Spectral,5,9496,1127,1.0,1.0
PCA,Spectral,5,9496,6731,1.0,1.0
